,Country,Year,AverageTemperature,AverageTemperatureUncertainty,Continent,ISO 3166-1 alpha-3,EmissionsTotal,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
52,Djibouti,1950,28.35591666666667,0.4466666666666667,Africa,DJI,0.010992,0.0,0.010992,0.0,0.0,0.0,,0.17634
53,Dominica,1950,25.798000000000002,0.2783333333333333,North America,DMA,0.0,,,,,,,0.0
54,Dominican Republic,1950,25.238333333333333,0.37133333333333335,North America,DOM,0.347783,0.0,0.31144,0.0,0.036343,0.0,,0.14602
55,Ecuador,1950,21.334416666666666,0.40008333333333335,South America,ECU,0.73989,0.0,0.710816,0.0,0.029074,0.0,,0.210272
56,Egypt,1950,22.681083333333333,0.464,Africa,EGY,10.233085,0.509296,9.218624,0.0,0.505165,0.0,,0.483833
57,El Salvador,1950,24.643,0.43133333333333335,North America,SLV,0.267472,0.0,0.267472,0.0,0.0,0.0,,0.122558
58,Equatorial Guinea,1950,25.07575,0.30358333333333337,Africa,GNQ,0.010992,0.0,0.010992,0.0,0.0,0.0,,0.048555
59,Eritrea,1950,26.665833333333335,0.5425833333333333,Africa,ERI,0.0,,,,,,,0.0
60,Estonia,1950,5.236,0.29725,Europe,EST,6.850156,6.154165,0.650145,0.014874,0.030972,0.0,,6.215672
61,Ethiopia,1950,22.658,0.4258333333333333,Africa,ETH,0.087907,0.021105,0.063314,0.0,0.003489,0.0,,0.004964
62,Faroe Islands,1950,7.0065,0.4054166666666667,Europe,FRO,0.040304,0.032976,0.007328,0.0,0.0,0.0,,1.273227
63,Federated States Of Micronesia,1950,27.028916666666664,0.33416666666666667,Oceania,FSM,0.0,,,,,,,0.0
64,Fiji,1950,25.294083333333333,0.28125,Oceania,FJI,0.120912,0.025648,0.095264,0.0,0.0,0.0,,0.392179
65,Finland,1950,2.2062500000000003,0.25066666666666665,Europe,FIN,6.544565,4.747537,1.42976,0.0,0.367268,0.0,,1.632758
66,France,1950,13.23325,0.2910833333333333,Europe,FRA,202.428862,166.85059,31.569593,0.447016,3.561663,0.0,,4.837894
67,French Guiana,1950,25.78075,0.30016666666666664,South America,GUF,0.007328,0.0,0.007328,0.0,0.0,0.0,,0.313189
68,French Polynesia,1950,25.91033333333333,0.66325,Oceania,PYF,0.0,,,,,,,0.0
69,Gabon,1950,24.434250000000002,0.3451666666666667,Africa,GAB,0.0,,,,,,,0.0
70,Gambia,1950,27.41825,0.29416666666666663,Africa,GMB,0.014656,0.0,0.014656,0.0,0.0,0.0,,0.047773
71,Georgia,1950,7.9575,0.36725,Asia,GEO,2.755883,1.063964,1.477338,0.18889,0.02569,0.0,,0.78353
72,Germany,1950,8.653416666666667,0.17341666666666666,Europe,DEU,510.68183,496.900688,7.56616,0.043968,6.171014,0.0,,7.196341
73,Ghana,1950,26.692000000000004,0.28391666666666665,Africa,GHA,0.637536,0.168544,0.468992,0.0,0.0,0.0,,0.125559
74,Greece,1950,15.639000000000001,0.36274999999999996,Europe,GRC,4.127723,0.912336,3.019136,0.0,0.196251,0.0,,0.538228
75,Greenland,1950,-18.12675,0.87125,North America,GRL,0.098928,0.080608,0.01832,0.0,0.0,0.0,,4.279078
76,Grenada,1950,26.46075,0.35283333333333333,North America,GRD,0.007328,0.0,0.007328,0.0,0.0,0.0,,0.095144
77,Guadeloupe,1950,25.948166666666665,0.28125,North America,GLP,0.062288,0.0,0.062288,0.0,0.0,0.0,,0.28936
78,Guatemala,1950,22.901749999999996,0.35975,North America,GTM,0.619038,0.0,0.597232,0.0,0.021806,0.0,,0.199698
79,Guinea,1950,25.32558333333333,0.2434166666666667,Africa,GIN,0.0,,,,0.0,,,0.0
80,Guinea Bissau,1950,26.633583333333334,0.29575,Africa,GNB,0.007328,0.0,0.007328,0.0,0.0,0.0,,0.013485
81,Guyana,1950,26.023750000000003,0.42875,South America,GUY,0.260144,0.0,0.260144,0.0,0.0,0.0,,0.622773
82,Haiti,1950,25.9605,0.39608333333333334,North America,HTI,0.113584,0.0,0.113584,0.0,0.0,0.0,,0.034979
83,Honduras,1950,24.371166666666667,0.47925,North America,HND,0.300448,0.0,0.300448,0.0,0.0,0.0,,0.192851
84,Hong Kong,1950,23.04941666666667,0.4490833333333333,Asia,HKG,1.318773,0.468992,0.817072,0.0,0.032709,0.0,,0.665871
85,Hungary,1950,10.680166666666667,0.33391666666666664,Europe,HUN,18.390041,15.707568,1.582848,0.703488,0.396137,0.0,,1.969437
86,Iceland,1950,1.8535000000000004,0.32066666666666666,Europe,ISL,0.740128,0.230832,0.509296,0.0,0.0,0.0,,5.188419
87,India,1950,23.659333333333336,0.18225,Asia,IND,61.102632,52.559786,7.188768,0.0,1.354077,0.0,,0.171146
88,Indonesia,1950,25.65425,0.3695,Asia,IDN,9.830512,2.041609,6.597659,1.191244,0.0,0.0,,0.141309
89,Iran,1950,16.908833333333334,0.43724999999999997,Asia,IRN,84.117845,0.53128,83.553856,0.0,0.032709,0.0,,4.997248
90,Iraq,1950,21.31175,0.41625,Asia,IRQ,1.648533,0.003664,1.61216,0.0,0.032709,0.0,,0.291442
91,Ireland,1950,9.461833333333333,0.26016666666666666,Europe,IRL,9.726138,8.522918,0.985245,0.0,0.217975,0.0,,3.346226
92,Israel,1950,19.70975,0.45108333333333334,Asia,ISR,1.669239,0.069616,1.41064,0.0,0.188983,0.0,,1.299871
93,Italy,1950,13.712583333333335,0.30016666666666664,Europe,ITA,41.430597,24.572276,13.427373,0.956219,2.474729,0.0,,0.893056
94,Jamaica,1950,25.723,0.4231666666666667,North America,JAM,0.271136,0.043382,0.227754,0.0,0.0,0.0,,0.192641
95,Japan,1950,12.589500000000001,0.1465,Asia,JPN,102.540986,95.729328,4.47008,0.135568,2.20601,0.0,,1.215617
96,Jordan,1950,19.401166666666665,0.47408333333333336,Asia,JOR,0.172208,0.0,0.172208,0.0,0.0,0.0,,0.392823
97,Kazakhstan,1950,4.267416666666666,0.32266666666666666,Asia,KAZ,45.155046,40.701635,3.995939,0.12887,0.328603,0.0,,6.784443
98,Kenya,1950,23.94541666666667,0.41500000000000004,Africa,KEN,0.908672,0.117248,0.791424,0.0,0.0,0.0,,0.157372
99,Kiribati,1950,26.316166666666664,0.617,Oceania,KIR,0.0,,,,,,,0.0
100,Kuwait,1950,24.617833333333333,0.7035,Asia,KWT,0.38472,0.0,0.38472,0.0,0.0,0.0,,2.502439
101,Kyrgyzstan,1950,2.6250000000000004,0.5661666666666667,Asia,KGZ,3.872619,3.066912,0.72169,0.02736,0.056656,0.0,,2.211377
102,Laos,1950,23.7715,0.4988333333333333,Asia,LAO,0.0,,,,,,,0.0
103,Latvia,1950,5.77025,0.3105,Europe,LVA,4.525796,1.833085,2.601012,0.071304,0.020396,0.0,,2.35409
104,Lebanon,1950,17.695249999999998,0.33866666666666667,Asia,LBN,1.512165,0.003655,1.377991,0.0,0.130518,0.0,,1.120464
105,Lesotho,1950,14.00125,0.44250000000000006,Africa,LSO,0.0,,,,,,,0.0
106,Liberia,1950,25.31916666666667,0.32508333333333334,Africa,LBR,0.047632,0.0,0.047632,0.0,0.0,0.0,,0.052006
107,Libya,1950,21.881249999999998,0.57125,Africa,LBY,0.142896,0.014656,0.12824,0.0,0.0,0.0,,0.126381
108,Liechtenstein,1950,5.4355,0.35674999999999996,Europe,LIE,0.0,,,,,,,0.0
109,Lithuania,1950,6.466666666666666,0.31816666666666665,Europe,LTU,6.996074,2.324744,4.438254,0.156036,0.077039,0.0,,2.727729
110,Luxembourg,1950,9.560083333333333,0.22624999999999998,Europe,LUX,7.419065,7.18144,0.172208,0.0,0.065417,0.0,,25.015055
111,Macau,1950,22.8175,0.47574999999999995,Asia,MAC,0.0,,,,,,,0.0
112,Macedonia,1950,11.551083333333333,0.4708333333333334,Europe,MKD,1.946432,1.716753,0.179427,0.0,0.050252,0.0,,1.555362
113,Madagascar,1950,22.50666666666667,0.45216666666666666,Africa,MDG,0.304082,0.161216,0.139232,0.0,0.003634,0.0,,0.076907
114,Malawi,1950,21.011083333333335,0.38425,Africa,MWI,0.23455,0.18372,0.044477,0.0,0.006353,0.0,,0.079516
115,Malaysia,1950,25.91025,0.27991666666666665,Asia,MYS,3.655348,0.38849,3.154923,0.111935,0.0,0.0,,0.611991
116,Mali,1950,27.8955,0.3821666666666667,Africa,MLI,0.0,,,,,,,0.0
117,Malta,1950,19.213333333333335,0.3795,Europe,MLT,0.245488,0.047632,0.197856,0.0,0.0,0.0,,0.841078
